model	policy	ranking	group	n	R@1	R@3	R@5	MRR	heading@3	irrelevant_heading@3
qwen_instruct	experiment	dense	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	dense	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_instruct	experiment	dense	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
qwen_instruct	experiment	hybrid	all_answerable	36	0.8611	0.8889	0.8889	0.8750	0.0000	0.0000
qwen_instruct	experiment	hybrid	body_only	32	0.9688	1.0000	1.0000	0.9844	0.0000	0.0000
qwen_instruct	experiment	hybrid	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
qwen_instruct	experiment	hybrid	short_fact	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
qwen_instruct	experiment	hybrid	paraphrase	9	0.8889	1.0000	1.0000	0.9444	0.0000	0.0000
qwen_instruct	experiment	hybrid	unanswerable	4	NA	NA	NA	NA	0.0000	0.0000
nomic_prefixes	baseline	dense	all_answerable	36	0.9722	1.0000	1.0000	0.9861	0.0833	0.0463
nomic_prefixes	baseline	dense	body_only	32	0.9688	1.0000	1.0000	0.9844	0.0521	0.0521
nomic_prefixes	baseline	dense	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.3333	0.0000
nomic_prefixes	baseline	dense	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.0000	0.0000
nomic_prefixes	baseline	dense	numeric	4	1.0000	1.0000	1.0000	1.0000	0.2500	0.2500
nomic_prefixes	baseline	dense	identifier	2	1.0000	1.0000	1.0000	1.0000	0.3333	0.3333
nomic_prefixes	baseline	dense	paraphrase	9	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	baseline	dense	unanswerable	4	NA	NA	NA	NA	0.0833	0.0833
nomic_prefixes	baseline	hybrid	all_answerable	36	0.9167	1.0000	1.0000	0.9537	0.0556	0.0185
nomic_prefixes	baseline	hybrid	body_only	32	0.9063	1.0000	1.0000	0.9479	0.0208	0.0208
nomic_prefixes	baseline	hybrid	heading_fact	4	1.0000	1.0000	1.0000	1.0000	0.3333	0.0000
nomic_prefixes	baseline	hybrid	short_fact	4	0.5000	1.0000	1.0000	0.7083	0.0000	0.0000
nomic_prefixes	baseline	hybrid	numeric	4	1.0000	1.0000	1.0000	1.0000	0.1667	0.1667
nomic_prefixes	baseline	hybrid	identifier	2	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	baseline	hybrid	paraphrase	9	1.0000	1.0000	1.0000	1.0000	0.0000	0.0000
nomic_prefixes	baseline	hybrid	unanswerable	4	NA	NA	NA	NA	0.0833	0.0833
nomic_prefixes	experiment	dense	all_answerable	36	0.8611	0.8889	0.8889	0.8750	0.0000	0.0000
nomic_prefixes	experiment	dense	body_only	32	0.9688	1.0000	1.0000	0.9844	0.0000	0.0000
nomic_prefixes	experiment	dense	heading_fact	4	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
nomic_prefixes	experiment	dense	short_fact	4	0.7500	1.0000	1.0000	0.8750	0.0000	0.0000
